"director","total_gross_million"
"Partho Sen-Gupta","0.00"
"Ryon Baxter","0.00"
"Pat Healy","0.00"
"Tony McNamara","0.00"
"Lance Daly","0.00"
"Eric England","0.00"
"Seán Ó Cualáin","0.00"
"Amman Abbasi","0.00"
"Zackary Adler","0.00"
"Renny Harlin","0.00"
"Michael Blieden","0.00"
"Dan Bush","0.00"
"Steven R. Monroe","0.00"
"Patricia Rozema","0.01"
"Alex Lehmann","0.01"
"John Andreas Andersen","0.01"
"Marina Willer","0.01"
"Neil Drumming","0.01"
"Stéphane Rybojad","0.01"
"Joe Pearson","0.01"
"Kaouther Ben Hania","0.01"
"Wing-Cheong Law","0.01"
"Joel Allen Schroeder","0.01"
"Duncan Skiles","0.01"
"János Edelényi","0.01"
"Miguel Arteta","0.01"
"Jamie M. Dagg","0.01"
"Cosmo Feilding-Mellen","0.01"
"Gabrielle Demeestere","0.01"
"Ian Cheney","0.01"
"Leigh Janiak","0.01"
"Gotham Chopra","0.01"
"Julie Davis","0.01"
"Gary Wheeler","0.02"
"Lilibet Foster","0.02"
"Stefan Ruzowitzky","0.02"
"Jeremy Snead","0.02"
"Kriv Stenders","0.02"
"Jeff Garlin","0.02"
"William Friedkin","0.02"
"Chris Peckover","0.02"
"Karim Aïnouz","0.02"
"Benson Lee","0.02"
"Eric Schaeffer","0.02"
"Jalmari Helander","0.02"
"B. Unnikrishnan","0.02"
"Bertrand Bonello","0.03"
"Scott Hamilton Kennedy","0.03"
"Babak Anvari","0.03"
"Justin Kelly","0.03"
"Kevin Phillips","0.03"
"Peter Hyams","0.03"
"Cate Shortland","0.03"
"Crayton Robey","0.03"
"Brendan Toller","0.04"
"Jeremy Seifert","0.04"
"Danfung Dennis","0.04"
"Josh Greenbaum","0.04"
"Elizabeth Canner","0.05"
"David Grovic","0.05"
"Nick Tomnay","0.05"
"James D. Scurlock","0.06"
"Matt Johnson","0.06"
"Robert Stone","0.07"
"Cary Joji Fukunaga","0.08"
"Elite Zexer","0.08"
"Jesse V. Johnson","0.08"
"Ava DuVernay","0.08"
"Jim Gillespie","0.08"
"Céline Sciamma","0.08"
"Chad Hartigan","0.09"
"Craig Teper","0.09"
"Chris Kelly","0.09"
"Mark Mori","0.10"
"Ross Katz","0.10"
"Coralie Fargeat","0.10"
"Kasper Collin","0.10"
"Adam Leon","0.10"
"Nicholas DiBella","0.10"
"Andrew Bujalski","0.10"
"Jesse Moss","0.11"
"Ryan M. Kennedy","0.11"
"Masaaki Yuasa","0.11"
"Jehane Noujaim","0.12"
"Steve Hoover","0.12"
"Nicholas D. Wrathall","0.13"
"Sheldon Candis","0.14"
"M.D. Selig","0.14"
"Don Coscarelli","0.14"
"Ryan White","0.14"
"Takashi Miike","0.15"
"Michael Rossato-Bennett","0.15"
"Chris Paine","0.15"
"Ajmal Zaheer Ahmad","0.15"
"Joachim Trier","0.15"
"Jason Wise","0.17"
"Kazuya Murata","0.18"
"Ana Lily Amirpour","0.18"
"Greg Barker","0.19"
"Henry Hobson","0.19"
"Elizabeth Wood","0.20"
"Travis Fine","0.20"
"Luv Ranjan","0.22"
"Lone Scherfig","0.23"
"Karyn Kusama","0.23"
"Ribhu Dasgupta","0.26"
"Malik Bader","0.28"
"Colin Nutley","0.29"
"John Madden","0.30"
"Tom Six","0.30"
"Nora Twomey","0.31"
"Shane Meadows","0.33"
"Joe Swanberg","0.34"
"Jamal Hill","0.44"
"George Ratliff","0.48"
"Lynn Shelton","0.48"
"Lisa Krueger","0.50"
"Charlie McDowell","0.51"
"Martin Koolhoven","0.54"
"Arthur Rasco","0.56"
"Le-Van Kiet","0.59"
"Aaron Lieber","0.59"
"Greg 'Freddy' Camalier","0.70"
"Sean Baker","0.70"
"Kirby Dick","0.71"
"Dee Rees","0.76"
"Peter Landesman","0.77"
"Gaspar Noé","0.80"
"Steve James","0.81"
"Mamoru Hosoda","0.81"
"Robert Budreau","0.83"
"Vlad Yudin","0.85"
"Mark Levinson","0.87"
"Whit Stillman","1.01"
"Martín Rosete","1.02"
"Sujoy Ghosh","1.04"
"Mamoru Oshii","1.04"
"Gorô Miyazaki","1.05"
"Justin Kurzel","1.11"
"Gurinder Chadha","1.11"
"Bob Yari","1.12"
"Morgan Neville","1.16"
"Carlo Carlei","1.16"
"Daniel Espinosa","1.21"
"Perry Lang","1.25"
"Isabel Coixet","1.33"
"Mark Osborne","1.34"
"Stephanie Soechtig","1.54"
"Douglas Sirk","1.80"
"Ariel Vromen","1.94"
"Isao Takahata","1.96"
"Noah Baumbach","2.00"
"James Gray","2.01"
"Jacques Audiard","2.06"
"Victor Salva","2.24"
"Orson Welles","2.24"
"Rob Reiner","2.47"
"Wilson Yip","2.68"
"Kevin Macdonald","3.03"
"Lee Toland Krieger","3.09"
"Jeremy Saulnier","3.22"
"Irving Pichel","3.25"
"Amma Asante","3.90"
"Mel Stuart","4.00"
"Guy Hamilton","4.36"
"Paul Verhoeven","4.40"
"Uwe Boll","4.54"
"Bong Joon Ho","4.56"
"Trivikram Srinivas","4.70"
"Rupert Goold","4.72"
"Rohit Shetty","4.83"
"Makoto Shinkai","5.02"
"Brad Anderson","5.02"
"Taika Waititi","5.20"
"Daniel Barnz","5.31"
"Sngmoo Lee","5.66"
"Sergei Bodrov","5.70"
"George Clooney","5.78"
"Blair Treu","5.88"
"Frant Gwo","5.88"
"Doug Lefler","5.93"
"Anne Fontaine","6.11"
"Rob Cohen","6.12"
"Jean-Pierre Jeunet","6.17"
"Tomas Alfredson","6.67"
"Jack Clayton","6.74"
"Nicholas Jarecki","7.92"
"John Curran","8.06"
"Steven Knight","9.94"
"Robin Bissell","10.21"
"Ben Affleck","10.38"
"George Butler","10.40"
"David Ayer","10.51"
"Pierre Morel","10.64"
"Niels Arden Oplev","10.88"
"Tom Hooper","11.11"
"Scott Cooper","11.33"
"Richard Rich","11.96"
"Jee-woon Kim","12.05"
"John Hillcoat","12.63"
"John Lee Hancock","12.79"
"Trish Sie","14.90"
"Mary Harron","15.07"
"Nisha Ganatra","15.50"
"Roman Polanski","15.54"
"Daniel Mann","16.00"
"John Carney","16.17"
"Deran Sarafian","16.85"
"Boaz Yakin","17.14"
"Chris Weitz","17.61"
"Danny Boyle","18.34"
"Adam Wingard","18.47"
"Dax Shepard","18.60"
"Walter Hill","18.64"
"J.A. Bayona","19.02"
"Hiromasa Yonebayashi","19.20"
"Allen Hughes","19.70"
"Steve Carr","19.99"
"Terry Jones","20.05"
"Gary Fleder","20.16"
"David Koepp","20.28"
"Paul Haggis","21.15"
"Dennis Gansel","21.22"
"Marcus Nispel","21.30"
"Tim Story","21.36"
"Olivia Wilde","22.68"
"Andrew Niccol","24.15"
"Alexander Payne","24.45"
"Ron Howard","25.02"
"Mikael Håfström","25.13"
"Paul W.S. Anderson","26.83"
"David Mackenzie","26.86"
"Peter Webber","27.67"
"Barry Jenkins","27.85"
"Andrzej Bartkowiak","28.21"
"Fred Zinnemann","28.35"
"Lars Klevberg","29.21"
"Alexandre Aja","30.69"
"Jim Sheridan","30.98"
"Alex Proyas","31.15"
"Stephen Daldry","31.85"
"Alex Garland","32.73"
"Harold Becker","32.94"
"Franklin J. Schaffner","33.40"
"Dean Devlin","33.70"
"Taylor Sheridan","33.80"
"Ari Sandel","34.02"
"Eli Roth","34.06"
"Scott Speer","35.07"
"Joe Wright","35.09"
"Dan Mazer","35.59"
"Shane Black","36.26"
"Craig Gillespie","36.45"
"Stephen Frears","37.71"
"Tim Burton","37.77"
"John Crowley","38.32"
"Hayao Miyazaki","39.06"
"Paul King","40.44"
"Adam Shankman","41.23"
"Dennis Hopper","41.73"
"Alan J. Pakula","42.87"
"Jonathan Levine","43.04"
"Tyler Perry","43.55"
"Geoff Murphy","44.14"
"Mark Robson","44.43"
"David Lean","44.82"
"Kelly Asbury","45.02"
"Wes Anderson","45.51"
"Arthur Hiller","46.91"
"Todd Strauss-Schulson","48.79"
"Frederik Du Chau","49.77"
"Mark Rosman","51.44"
"David Leitch","51.69"
"Catherine Hardwicke","52.67"
"McG","54.76"
"Amy Heckerling","56.63"
"Adam Robitel","57.01"
"Stuart Hazeldine","57.39"
"John Landis","57.43"
"John Luessenhop","57.74"
"Seth Gordon","58.06"
"Len Wiseman","58.88"
"Larry Charles","59.65"
"Scott Hicks","60.46"
"Gavin Hood","61.74"
"Jaume Collet-Serra","63.69"
"Tarsem Singh","64.94"
"Anne Fletcher","65.33"
"Baltasar Kormákur","66.53"
"Florian Henckel von Donnersmarck","67.63"
"Roland Emmerich","73.10"
"Brad Furman","73.44"
"Patrick Hughes","75.47"
"Bennett Miller","75.61"
"Steven Soderbergh","75.66"
"James Bobin","77.04"
"Chris Columbus","78.75"
"Antoine Fuqua","79.57"
"Herbert Ross","80.04"
"Simon West","85.02"
"Stanley Kubrick","86.95"
"Mark Dindal","89.30"
"Woody Allen","90.23"
"Klay Hall","90.29"
"Joel Schumacher","92.12"
"Alex Kurtzman","92.51"
"Cecil B. DeMille","93.74"
"Peter Weir","95.86"
"Michael Mann","97.10"
"Robert Zemeckis","100.92"
"Brad Peyton","101.03"
"Jeannot Szwarc","102.92"
"Fede Alvarez","104.06"
"Noam Murro","106.58"
"Edgar Wright","107.83"
"Scott Derrickson","109.95"
"Ben Stiller","110.52"
"Joe Carnahan","112.88"
"Louis Leterrier","117.72"
"Darren Aronofsky","119.00"
"Gore Verbinski","123.48"
"Luc Besson","126.66"
"Stephen Herek","136.19"
"Quentin Tarantino","136.31"
"Gary Ross","140.22"
"Denis Villeneuve","147.44"
"Judd Apatow","148.73"
"Robert Rodriguez","151.90"
"Brian Fee","152.90"
"Sydney Pollack","158.35"
"Jon M. Chu","165.50"
"Genndy Tartakovsky","167.51"
"Martin Scorsese","167.64"
"David Fincher","167.77"
"Jordan Vogt-Roberts","168.05"
"Joe Johnston","181.17"
"Peter Berg","186.53"
"Randal Kleiser","188.76"
"Ruben Fleischer","213.52"
"Betty Thomas","219.61"
"Alejandro G. Iñárritu","225.98"
"Robert Luketic","232.50"
"Adrian Lyne","251.55"
"F. Gary Gray","252.19"
"Olivier Megaton","265.78"
"Andy Muschietti","327.48"
"James Wan","353.01"
"Jon Watts","390.53"
"Zack Snyder","540.97"
"Bill Condon","607.38"
"Sam Raimi","657.26"
"Jake Kasdan","721.35"
"Steven Spielberg","973.44"
"Peter Jackson","1338.94"
"Joram Lürsen",NULL
"John Hyams",NULL
"William Bindley",NULL
"Ross Wilson",NULL
"Allan Dwan",NULL
"Ming Jin Woo",NULL
"Masao Ôkubo",NULL
"Miguel Cohan",NULL
"Kwang-Hyun Park",NULL
"Tom Dey",NULL
"Chris Prynoski",NULL
"Adam Deyoe",NULL
"Ricky Gervais",NULL
"Samu Fuentes",NULL
"Jon Clay",NULL
"Albert Jan van Rees",NULL
"Igor Cobileanski",NULL
"Avid Liongoren",NULL
"Jason Rothenberg",NULL
"Brent Crowell",NULL
"Gabriela Tagliavini",NULL
"Chris Sivertson",NULL
"Anurag Basu",NULL
"Angela Barnes",NULL
"Luke Snellin",NULL
"Nadia Hallgren",NULL
"Brandon Camp",NULL
"Wael Ihsan",NULL
"Tim Robbins",NULL
"Toshiyuki Kubooka",NULL
"Benno Schoberth",NULL
"Jarrett Lee Conaway",NULL
"Mikhil Musale",NULL
"Wendy Rogers",NULL
"Raj Thiruselvan",NULL
"Jo Harvey",NULL
"Wyatt Cenac",NULL
"Danny Stolker",NULL
"James Tovell",NULL
"Stefan Westerwelle",NULL
"Edwin",NULL
"Drew Glick",NULL
"Eiichirô Hasumi",NULL
"Benjamin Kasulke",NULL
"Meat Dept",NULL
"Andres Feddersen",NULL
"Jon Richards",NULL
"Brent Craft",NULL
"Kalina Alabrudzinska",NULL
"John Stewart Muller",NULL
"Sofia Coppola",NULL
"Salli Richardson-Whitfield",NULL
"Simon Bennett",NULL
"Pawan Kumar",NULL
"Love Lee",NULL
"Jovan Taylor",NULL
"Ben Young",NULL
"Chris Moukarbel",NULL
"Alexandre Avancini",NULL
"J.C. Chandor",NULL
"Fernando González Molina",NULL
"Tom Marshall",NULL
"Philipp Eichholtz",NULL
"Lennart Ruff",NULL
"Gabriel Julien-Laferrière",NULL
"Bert Kish",NULL
"Monika Mitchell",NULL
"Chaitanya Tamhane",NULL
"Destiny Ekaragha",NULL
"Åke Sandgren",NULL
"Steve Stark",NULL
"Dan Gilroy",NULL
"Bert Marcus",NULL
"Patrice Laliberté",NULL
"Franco di Chiera",NULL
"Daniel Markowicz",NULL
"Rayka Zehtabchi",NULL
"Franck Nataf",NULL
"Sharan Sharma",NULL
"Roy Hin Yeung Chow",NULL
"Michal Szczesniak",NULL
"Gil Junger",NULL
"Euros Lyn",NULL
"Elizabeth Banks",NULL
"Hiromi Kamata",NULL
"Sacha Wolff",NULL
"Lodewijk Crijns",NULL
"Hannah Hoare",NULL
"Diederick Koopal",NULL
"Carlos Kaimakamian Carrau",NULL
"Ireneusz Dobrowolski",NULL
"Damián Romay",NULL
"Rebecca Asher",NULL
"Jon Karthaus",NULL
"Raihan Muhimtule",NULL
"Alejandro Montiel",NULL
"John Keith Wasson",NULL
"Marc Vigil",NULL
"Hyun Joo Song",NULL
"Steve Amezdroz",NULL
"Lauro David Chartrand-DelValle",NULL
"Robert Lieberman",NULL
"Evan Buxbaum",NULL
"Bartosz Konopka",NULL
"Zak Penn",NULL
"Emanuel Parvu",NULL
"Oliver Kienle",NULL
"Jelle de Jonge",NULL
"Steven K. Tsuchida",NULL
"Oded Raz",NULL
"Leonard R. Garner Jr.",NULL
"Brian Volk-Weiss",NULL
"Louis C.K.",NULL
"Elisa Fuksas",NULL
"Stelvio Massi",NULL
"Tibor Takács",NULL
"Jonathan Sheldon",NULL
"Stephen Falk",NULL
"Santiago Limón",NULL
"Russ Barnes",NULL
"Eddie Mullins",NULL
"René Sampaio",NULL
"Michael Tiddes",NULL
"Jennifer Phang",NULL
"Arvind Sastry",NULL
"Sion Sono",NULL
"Darrell Brown",NULL
"Jamie Childs",NULL
"Cecilia Peck",NULL
"Phillip Guzman",NULL
"Diana Valentine",NULL
"Michael Matthews",NULL
"Chell Stephen",NULL
"Fred Ouro Preto",NULL
"Kornél Mundruczó",NULL
"Jay Chapman",NULL
"Alik Sakharov",NULL
"Kagiso Lediga",NULL
"Syamsul Yusof",NULL
"Steven A. Adelson",NULL
"Nicholas Kharkongor",NULL
"Johan Renck",NULL
"Paula van der Oest",NULL
"Evgeny Afineevsky",NULL
"J.B. Rogers",NULL
"Haneef Adeni",NULL
"Eli Craig",NULL
"Dani de la Torre",NULL
"Narendra Nath",NULL
"Leslee Udwin",NULL
"Phil Joanou",NULL
"Joshua Zeman",NULL
"Nikhil Bhat",NULL
"Elisa Miller",NULL
"Daniel O'Hara",NULL
"Miguel Alexandre",NULL
"Christophe Charrier",NULL
"Matías Gueilburt",NULL
"Jeremy M. Inman",NULL
"Ramiro Tenorio",NULL
"Scott Moran",NULL
"Richie Smyth",NULL
"Richard Meech",NULL
"Michelle Esrick",NULL
"Neil J. Wilkinson",NULL
"Scott Frank",NULL
"Ves D'Elia",NULL
"Lin-Manuel Miranda",NULL
"Villads Spangsberg",NULL
"Paco Caballero",NULL
"Matthew Michael Carnahan",NULL
"Ingvild Søderlind",NULL
"Mikkel Serup",NULL
"Kuang-Hui Liu",NULL
"Hansol Shin",NULL
"Daryl Hannah",NULL
"Banjong Pisanthanakun",NULL
"Julie Anne Robinson",NULL
"Iñaki Dorronsoro",NULL
"Eric Dean Seaton",NULL
"Benny Boom",NULL
"Shanker Raman",NULL
"Mike Mendez",NULL
"Ludovica Lirosi",NULL
"Vivek Soni",NULL
"Riri Riza",NULL
"Dan Chisu",NULL
"Eric Cabello",NULL
