director_id,director
1,Aadish Keluskar
2,Aaron Augenblick
3,Aaron Burns
4,Aaron Lieber
5,Aaron Long
6,Aaron Sorkin
7,Abdelhamid Bouchnak
8,Abhijit Panse
9,Abhinay Deo
10,Adam Berg
11,Adam Bernstein
12,Adam Davidson
13,Adam Deyoe
14,Adam Dubin
15,Adam Franklin
16,Adam Heydt
17,Adam Leon
18,Adam Marino
19,Adam Mason
20,Adam McKay
21,Adam Parton
22,Adam Randall
23,Adam Robitel
24,Adam Salky
25,Adam Shankman
26,Adam Silver
27,Adam Wingard
28,Adamo P. Cultraro
29,Adarsh Eshwarappa
30,Aditya Kripalani
31,Adolf El Assal
32,Adrian Lyne
33,Adrian Teh
34,Adze Ugah
35,Afia Nathaniel
36,Agnidev Chatterjee
37,Agnieszka Smoczynska
38,Agustí Villaronga
39,Ahmad El-Badri
40,Ahmed El Gendy
41,Ahmet Katiksiz
42,Ajmal Zaheer Ahmad
43,Alain Darborg
44,Alain Desrochers
45,Alan Carter
46,Alan Ereira
47,Alan J. Pakula
48,Alan Yang
49,Alan Zweig
50,Alankrita Shrivastava
51,Alastair Fothergill
52,Albert Jan van Rees
53,Albert Pintó
54,Albert Sharpe
55,Alberto Belli
56,Alberto Rodríguez
57,Alberto Ruiz Rojo
58,Alejandro Agresti
59,Alejandro Brugués
60,Alejandro G. Iñárritu
61,Alejandro Montiel
62,Alejandro Springall
63,Aleksandr Chernyaev
64,Aleksey German Jr.
65,Aleksey Sidorov
66,Aleksey Tsitsilin
67,Alessandra de Rossi
68,Alessandro D'Alatri
69,Alessandro Pondi
70,Alessandro Siani
71,Alessio Cremonini
72,Alessio Maria Federici
73,Alethea Jones
74,Alex Beaty
75,Alex Burunova
76,Alex Garland
77,Alex Gibney
78,Alex Goyette
79,Alex Holmes
80,Alex Infascelli
81,Alex Kurtzman
82,Alex Lehmann
83,Alex Merkin
84,Alex Orwell
85,Alex Pillai
86,Alex Proyas
87,Alex Ranarivelo
88,Alex Richanbach
89,Alex Rodrigo
90,Alex Stapleton
91,Alex Timbers
92,Alex Winter
93,Alex Zamm
94,Alexander Payne
95,Alexandra La Roche
96,Alexandre Aja
97,Alexandre Avancini
98,Alexandre Espigares
99,Alexandre Laurent
100,Alexandre Moratto
101,Alexandre Reinecke
102,Alexis Almström
103,Alexis Morante
104,Alexis Ostrander
105,Aleysa Young
106,Alfons Adetuyi
107,Alfonso Cortés-Cavanillas
108,Alfonso Cuarón
109,Alfonso Pineda Ulloa
110,Ali Akbarzadeh
111,Ali Atay
112,Ali F. Mostafa
113,Ali Tabrizi
114,Ali Taner Baltaci
115,Alice Filippi
116,Alice Rohrwacher
117,Alice Wu
118,Alik Sakharov
119,Alison Klayman
120,Alistair Legrand
121,Allan Dwan
122,Allan Kroeker
123,Allan Ungar
124,Allen Hughes
125,Ally Pankiw
126,Alrick Riley
127,Alysse Leite-Rogers
128,Amanda Blue
129,Amanda Marsalis
130,Amanda Raymond
131,Amanda Richardson
132,Amanda Row
133,Amanda Tapping
134,Amar Kaushik
135,Amara Cash
136,Ami Canaan Mann
137,Amma Asante
138,Amman Abbasi
139,Amr Arafa
140,Amr Salah
141,Amr Salama
142,Amy Heckerling
143,Amy Poehler
144,Amy Rice
145,Amy Schumer
146,Amy Winfrey
147,Amyn Kaderali
148,Ana Lily Amirpour
149,Anand Tiwari
150,Anca Damian
151,Anca Miruna Lazarescu
152,Andaç Haznedaroglu
153,Anders Morgenthaler
154,Anders Nilsson
155,Andi Armaganian
156,Andi Behring
157,Andrea De Sica
158,Andrea Molaioli
159,Andrea Tagliaferri
160,Andrei Gruzsniczki
161,Andrei Zincã
162,Andres Feddersen
163,Andres Salaff
164,Andrew Bujalski
165,Andrew DeYoung
166,Andrew Disney
167,Andrew Dominik
168,Andrew Dosunmu
169,Andrew Jenks
170,Andrew Jones
171,Andrew L. Schmidt
172,Andrew McCarthy
173,Andrew Niccol
174,Andrzej Bartkowiak
175,Andrés Baiz
176,Andy Byatt
177,Andy Cadiff
178,Andy Fowler
179,Andy Hay
180,Andy Mikita
181,Andy Muschietti
182,Andy Nyman
183,Andy Serkis
184,Andy Tennant
185,Aneesh Anwar
186,Aneesh Chaganty
187,Angela Barnes
188,Angelina Jolie
189,Angelo Abela
190,Angga Dwimas Sasongko
191,Aniëlle Webster
192,Ann Deborah Fishman
193,Anna Elizabeth James
194,Anna Foerster
195,Anna Wieczur-Bluszcz
196,Annabel Oakes
197,Anne Fletcher
198,Anne Fontaine
199,Anne Sewitsky
200,Anne Wheeler
201,Anne de Clercq
202,Annette K. Olesen
203,Anthony Bell
204,Anthony C. Ferrante
205,Anthony Gonzales
206,Anthony Lioi
207,Anthony Mandler
208,Anthony Mann
209,Anthony Stacchi
210,Antoine Fuqua
211,Antoinette Beumer
212,Antongiulio Panizzi
213,Antonin Baudry
214,Antonio Campos
215,Antonio Chavarrías
216,Antonio Hernández
217,Antonio Le Fosse
218,Antonio Morabito
219,Antonio Negret
220,Antonio Tublen
221,Antony De Gennaro
222,Anu Valia
223,Anubhav Sinha
224,Anurag Basu
225,Anurag Kashyap
226,Anvita Dutt
227,Anya Adams
228,April Mullen
229,Aprill Winney
230,Apurva Dhar Badgaiyann
231,Archie Hekagery
232,Ari Sandel
233,Ariel Boles
234,Ariel Vromen
235,Arkasha Stevenson
236,Armen V. Kevorkian
237,Arne Feldhusen
238,Arne Toonen
239,Arthur Hiller
240,Arthur Muhammad
241,Arthur Rasco
242,Arun Kumar
243,Aruna Raje
244,Arvind Sastry
245,Asep Kusdinar
246,Ashish R. Shukla
247,Ashish Ray
248,Ashley Way
249,Atle Knudsen
250,Atlee Kumar
251,Atul Sabharwal
252,Augustine Frizzell
253,Ava DuVernay
254,Avid Liongoren
255,Avinash Walzade
256,Awi Suryadi
257,Awol Erizku
258,Axel Uriegas
259,Axelle Carolyn
260,Axelle Laffont
261,Ayoka Chenzira
262,Aytaç Agirlar
263,Ayush Raina
264,Aziz Ansari
