star_id,stars
1,2 Chainz
2,2'Live Bre
3,2Mex
4,50 Cent
5,A Boogie wit da Hoodie
6,A.J. Baime
7,A.J. Daulerio
8,A.J. LoCascio
9,A.N.T.I.
10,AJ Bowen
11,AJ Meijer
12,AJ Michalka
13,ASAP Rocky
14,Aahana Kumra
15,Aakshath Das
16,Aaliyah Cinello
17,Aamina Sheikh
18,Aamir Ahmed
19,Aamir Bashir
20,Aaran Thomas
21,Aarnaa Sharma
22,Aaron Adler
23,Aaron Ashmore
24,Aaron Burns
25,Aaron Camper
26,Aaron Carpenter
27,Aaron Carr
28,Aaron Dismuke
29,Aaron Fannin
30,Aaron Farb
31,Aaron Fiore
32,Aaron Franklin
33,Aaron Gaffey
34,Aaron Gallagher
35,Aaron Glenane
36,Aaron Harberts
37,Aaron Irvin
38,Aaron Jakubenko
39,Aaron L. McGrath
40,Aaron Milo
41,Aaron Moten
42,Aaron Paul
43,Aaron Phillips
44,Aaron Poole
45,Aaron Refvem
46,Aaron Stanford
47,Aaron Staton
48,Aaron Traywick
49,Aaron Tveit
50,Aasha Davis
51,Aasif Mandvi
52,Abatutu
53,Abbey Hoes
54,Abbey Paige
55,Abbi Jacobson
56,Abbie Cornish
57,Abbie Davis
58,Abbie Murphy
59,Abbie Schaub
60,Abby Bergman
61,Abby Donnelly
62,Abby Quinn
63,Abby Trott
64,Abdalla Bu Abed
65,Abdellatif Chaouqi
66,Abdelsamee Abdallah
67,Abdirizak Farah Ali
68,Abdramane Diakite
69,Abdulaziz Alshehri
70,Abdullah Al-Turkumani
71,Abdullah Almaqbali
72,Abdullah Bin Heider
73,Abdullah Khan
74,Abdulmohsen Alnemr
75,Abdur Arsyad
76,Abdur-Rahman Muhammad
77,Abel Folk
78,Abel Morrison
79,Abhay Bethiganti
80,Abhay Deol
81,Abhijit Sinha
82,Abhimanyu Dasani
83,Abhishek Bachchan
84,Abhishek Banerjee
85,Abhishek Bhalerao
86,Abhishek Deshmukh
87,Abhishek H.N.
88,Abhishek Kumaarr
89,Abhora
90,Abhyudaya Mohan
91,Abigail Adriano
92,Abigail Boucher
93,Abigail Breslin
94,Abigail Cowen
95,Abigail Journey Oliver
96,Abigail Kubeka
97,Abigail Oliver
98,Abigail Spencer
99,Abimana Aryasatya
100,Abio Abie
101,Abish Mathew
102,Abiyyu Barakbah
103,Abla Fahita
104,Abood Abu Jaafar
105,Abraham Attah
106,Abraham Beame
107,Abraham George
108,Abraham Rodriguez
109,Abril di Yorio
110,Abrill Macbeth
111,Abu Muntasir
112,Abu Omar
113,Abun Sungkar
114,Acacia Marquez
115,Acha Septriasa
116,Achint Kaur
117,Achita Sikamana
118,Achyuth Kumar
119,Acoryé White
120,Ada Afoluwake Ogunkeye
121,Ada Ameh
122,Ada Choi
123,Ada Gales
124,Ada Nicodemou
125,Ada Pan
126,Adah Sharma
127,Adair Curtis
128,Adam Baldwin
129,Adam Baylis-West
130,Adam Bouhouhou
131,Adam Brody
132,Adam Campbell
133,Adam Cannel
134,Adam Chernick
135,Adam Croasdell
136,Adam Demos
137,Adam Devine
138,Adam DiMarco
139,Adam Dirks
140,Adam Driver
141,Adam Eget
142,Adam Falkoff
143,Adam Fedyk
144,Adam Garcia
145,Adam Gibbs
146,Adam Gifford
147,Adam Goldberg
148,Adam Gottlieb
149,Adam Hampton
150,Adam LeFevre
151,Adam Levine
152,Adam Lustick
153,Adam McArthur
154,Adam Mediano
155,Adam Pally
156,Adam Pålsson
157,Adam Rayner
158,Adam Richmond
159,Adam Rodness
160,Adam Sandler
161,Adam Scott
162,Adam Sevani
163,Adam Shankman
164,Adam Tuominen
165,Adam Turczyk
166,Adam West
167,Adam Woronowicz
168,Adama Niane
169,Adamya
170,Adan Canto
171,Adarsh Bharti
172,Adarsh Gourav
173,Addinath Kothare
174,Addison Holley
175,Addison Rae
176,Addison Riecke
177,Ade Laoye
178,Adeel Akhtar
179,Adel Abdulnabi
180,Adel Abdulsalam
181,Adel Bencherif
182,Adel Emam
183,Adel Karam
184,Adelaide Kane
185,Adelfa Calvo
186,Ademola Adedoyin
187,Ademola Amoo
188,Aden Young
189,Adepero Oduye
190,Adesua Etomi-Wellington
191,Adewale Akinnuoye-Agbaje
192,Adham Ahmad
193,Adhisty Zara
194,Adhitya Alkatiri
195,Adi Afendi
196,Adi Shankar
197,Adia
198,Adil Dehbi
199,Adil Hussain
200,Adin Rudd
201,Adinia Wirasti
202,Adipati Dolken
203,Adisa Banjoko
204,Aditi Rao Hydari
205,Aditi Sudhir Pohankar
206,Aditya Modak
207,Aditya Roy Kapoor
208,Aditya Srivastav
209,Adjetey Anang
210,Adjis Doaibu
211,Adjoa Andoh
212,Adolf Hitler
213,Adria Arjona
214,Adrian Anghel
215,Adrian Carvajal
216,Adrian Cowan
217,Adrian Dunbar
218,Adrian Grenier
219,Adrian Holmes
220,Adrian Jarrett
221,Adrian Julius Tillmann
222,Adrian K. Collins
223,Adrian Ladron
224,Adrian Majewski
225,Adrian Martinez
226,Adrian Murdoch
227,Adrian Pang
228,Adrian Pasdar
229,Adrian Petriw
230,Adrian Rawlins
231,Adrian Schiller
232,Adrian Sparks
233,Adrian Titieni
234,Adriana Botina
235,Adriana Ozores
236,Adriana Paz
237,Adriana Ugarte
238,Adriane Daff
239,Adrianna Chlebicka
240,Adrianne Chalepah
241,Adriano Arbol
242,Adriano Carvalho
243,Adriano Chiaramida
244,Adriano Galliani
245,Adriano Goldschmied
246,Adriano Tardiolo
247,Adriano Zumbo
248,Adrien Brody
249,Adrienne Maloof
250,Adrienne Vergara
251,Adrià Salazar
252,Adrián Lastra
253,Adrián Pino
254,Adrián Suar
255,Ady An
256,Adzi Adamu
257,Adèle Exarchopoulos
258,Adèle Haenel
259,Aenne Schwarz
260,Aeona Cruz
261,Afaq
262,Afi Ekulona
263,Afiya Bennett
264,Afonso Padilha
265,Agam Darshi
266,Agata Buzek
267,Agathe Bonitzer
268,Agathe de La Boulaye
269,Aggy K. Adams
270,Agnes Bruckner
271,Agnese Claisse
272,Agnese Graziani
273,Agnieszka Grochowska
274,Agnieszka Wagner
275,Agnieszka Zulewska
276,Agustina Córdova
277,Agyness Deyn
278,Ahan Nirban
279,Ahd
280,Ahlam Al Greetly
281,Ahmad Abu-Zaid
282,Ahmad Al'Azzeh
283,Ahmad Dash
284,Ahmad Nicholas Ferguson
285,Ahmad Rawf
286,Ahmed Amin
287,Ahmed Eid
288,Ahmed El-Saadany
289,Ahmed El-Tuhami
290,Ahmed Elzakazeky
291,Ahmed Ezz
292,Ahmed Fathi
293,Ahmed Hassan
294,Ahmed Helmy
295,Ahmed Mekky
296,Ahmed Safwat
297,Ahmed Zikrey Abdellhak
298,Ahmet Kural
299,Ahmet Mümtaz Taylan
300,Ahmet Sarsilmaz
301,Ahn Bo-Hyun
302,Ahn Dong-Goo
303,Ahn Hyo-Seop
304,Ahn Jae-Hyun
305,Ahn Nae-sang
306,Ahn Suk-hwan
307,Ahnna Rasch
308,Ahsaas Channa
309,Ahu Türkpençe
310,Ai Kakuma
311,Ai Kayano
312,Ai-Ning Yao
313,Aida Abdel Aziz
314,Aida Jabolin
315,Aidan Gallagher
316,Aidan Gillen
317,Aidan Quinn
318,Aidan Turner
319,Aiden Arnold
320,Aiden McGeady
321,Aiden Pompey
322,Aidy Bryant
323,Aimee Carrero
324,Aimee McKay
325,Aimee Neira Ashruf
326,Aimi Samir Ghanem
327,Aina Suzuki
328,Airam Galliani
329,Aisha Dee
330,Aisha Hinds
331,Aishwarya Lekshmi
332,Aishwarya Rai Bachchan
333,Aisling Bea
334,Aisling Franciosi
335,Aislinn Derbez
336,Aitana Sánchez-Gijón
337,Aitor Luna
338,Aixa Villagrán
339,Aiyeola Bisola
340,Aiysha Hart
341,Aja Evans
342,Aja Naomi King
343,Ajay Friese
344,Ajay Gehi
345,Ajeya
346,Ajit George
347,Akane Fujita
348,Akansha Ranjan Kapoor
349,Akara Amarttayakul
350,Akari Kitô
351,Akarsh Khurana
352,Akeno Watanabe
353,Aki Fujî
354,Aki Maeda
355,Aki Toyosaki
356,Akia Henry
357,Akidearest
358,Akie Kotabe
359,Akihiro Kitamura
360,Akihiro Miwa
361,Akiko Yajima
362,Akin Omotoso
363,Akio Kato
364,Akio Ôtsuka
365,Akira Emoto
366,Akira Nishitani
367,Akira Sekine
368,Akira Yasuda
369,Akiva Schaffer
370,Akiyoshi Nakao
371,Akkarat Nimitchai
372,Akofa Edjeani Asiedu
373,Aksel Hennie
374,Aksha Pardasany
375,Akshay Jakhete
376,Akshay Oberoi
377,Al Alcorn
378,Al Gore
379,Al Jackson
380,Al Kreischer
381,Al Michaels
382,Al Pacino
383,Al Schackman
384,Al Sharpton
385,Ala Dakka
386,Alaa Amr
387,Alain Frei
388,Alain Hamon
389,Alain Hernández
390,Alain Passard
391,Alain Prost
392,Alain Saadeh
393,Alan Aisenberg
394,Alan Arkin
395,Alan Baumgarten
396,Alan Brecknell
397,Alan C. Lim
398,Alan Charles
399,Alan Cumming
400,Alan Dershowitz
401,Alan Devine
402,Alan Ereira
403,Alan Friedman
404,Alan Greenspan
405,Alan Hale Jr.
406,Alan Kay
407,Alan Khan
408,Alan Lee
409,Alan Mezo
410,Alan Ritchson
411,Alan Sabbagh
412,Alan Sutherland
413,Alan Whitehouse
414,Alana Barrett-Adkins
415,Alana Blanchard
416,Alankrita Sahai
417,Alanna Ubach
418,Alara Ceri
419,Alayna Bidlack
420,Alaïs Lawson
421,Alba August
422,Alba Baptista
423,Alba Flores
424,Alba Galocha
425,Alba Rohrwacher
426,Alban Ivanov
427,Alban Lenoir
428,Albert Baró
429,Albert Brooks
430,Albert Dupontel
431,Albert Morales
432,Albert Ribalta
433,Albert Rudbeck Lindhardt
434,Alberto Agnesi
435,Alberto Ajaka
436,Alberto Amarilla
437,Alberto Ammann
438,Alberto Barrero
439,Alberto Bognanni
440,Alberto Collado
441,Alberto Di Stasio
442,Alberto Farnese
443,Alberto Guerra
444,Alberto Rosende
445,Alberto Vazquez
446,Albin Grenholm
447,Albrecht Schuch
448,Aldo Escalante
449,Aldís Amah Hamilton
450,Alec Baldwin
451,Alec Guinness
452,Alec Mansky
453,Alejandra Ambrosi
454,Alejandra Azcárate
455,Alejandra Howard
456,Alejandra Onieva
457,Alejandra Reynoso
458,Alejandra Sampaio
459,Alejandro Agresti
460,Alejandro Aguilar
461,Alejandro Awada
462,Alejandro Buitrago
463,Alejandro Fraire
464,Alejandro Garcia
465,Alejandro Henriquez
466,Alejandro Nones
467,Alejandro Puente
468,Alejandro Restrepo
469,Alejandro Saab
470,Alejandro Speitzer
471,Alejandro Suárez
472,Alejandro Valverde
473,Alejandro de la Rosa Jiménez
474,Aleks Le
475,Aleks Mikic
476,Aleksa Palladino
477,Aleksandar Seksan
478,Aleksandr Robak
479,Aleksandr Ustyugov
480,Aleksandra Skraba
481,Aleksey Maklakov
482,Alessandra Costanzo
483,Alessandra Mastronardi
484,Alessandra de Rossi
485,Alessandro Borghi
486,Alessandro Concas
487,Alessandro Juliani
488,Alessandro Nivola
489,Alessandro Ponzo
490,Alessandro Preziosi
491,Alessandro Siani
492,Alessandro Tedeschi
493,Alessandro Tiberi
494,Alessia Cara
495,Alessio Boni
496,Alessio Praticò
497,Alessio Scalzotto
498,Alex Aiono
499,Alex Asogwa
500,Alex Babic
501,Alex Barima
502,Alex Beh
503,Alex Blue Davis
504,Alex Boese
505,Alex Borstein
506,Alex Brendemühl
507,Alex Brightman
508,Alex Bueermann
509,Alex Caceres
510,Alex Cartañá
511,Alex Cazares
512,Alex Chu
513,Alex Curletto
514,Alex Dimitriades
515,Alex Essoe
516,Alex Ferguson
517,Alex Frnka
518,Alex Gibney
519,Alex Goldman
520,Alex Gonzaga
521,Alex Hassell
522,Alex Huff
523,Alex Høgh Andersen
524,Alex Infascelli
525,Alex James
526,Alex Jennings
527,Alex Karpovsky
528,Alex Kiester
529,Alex Lawther
530,Alex Lewis
531,Alex Lisenbee
532,Alex Lutz
533,Alex Macqueen
534,Alex McKenna
535,Alex Monot
536,Alex Morf
537,Alex Neustaedter
538,Alex Nicol
539,Alex Nyerges
540,Alex O'Loughlin
541,Alex Ozerov
542,Alex Pimienta
543,Alex R.
544,Alex R. Hibbert
545,Alex Reid
546,Alex Rinehart
547,Alex Saxon
548,Alex Sharp
549,Alex Trebek
550,Alex Turnbull
551,Alex Zaichkowski
552,Alexa Adeosun
553,Alexa Chung
554,Alexa Kahn
555,Alexa Karolinski
556,Alexa Nisenson
557,Alexa Paulay-Simmons
558,Alexa PenaVega
559,Alexa Rose Steele
560,Alexander Abdallah
561,Alexander Albon
562,Alexander Armstrong
563,Alexander Bello
564,Alexander Broussard
565,Alexander Burke
566,Alexander Dreymon
567,Alexander James Rodriguez
568,Alexander Karim
569,Alexander Koch
570,Alexander Lobo Moreno
571,Alexander Ludwig
572,Alexander Petrov
573,Alexander Rosenberg
574,Alexander Scheer
575,Alexander Siddig
576,Alexander Skarsgård
577,Alexander Vlahos
578,Alexandra Amon
579,Alexandra Billings
580,Alexandra Borbély
581,Alexandra Breckenridge
582,Alexandra Daddario
583,Alexandra Dinu
584,Alexandra Grossi
585,Alexandra Jiménez
586,Alexandra Lamy
587,Alexandra Maria Lara
588,Alexandra Newick
589,Alexandra Nuñez
590,Alexandra Pfeifer
591,Alexandra Rapaport
592,Alexandra Shipp
593,Alexandra Staden
594,Alexandra Turshen
595,Alexandre Couillon
596,Alexandre Moreira
597,Alexandre Willaume
598,Alexandria Goddard
599,Alexandria Ocasio-Cortez
600,Alexandru Nagy
601,Alexandru Potocean
602,Alexej Manvelov
603,Alexia Barlier
604,Alexia Giordano
605,Alexia Landeau
606,Alexia Twister
607,Alexis Bledel
608,Alexis Dubus
609,Alexis Floyd
610,Alexis G. Zall
611,Alexis Gomez
612,Alexis Knapp
613,Alexis Nichols
614,Alexis Tipton
615,Alexx O'Nell
616,Alexxis Lemire
617,Alexz Johnson
618,Alf Kjellin
619,Alfie Allen
620,Alfie Sanderson
621,Alfie Watson
622,Alfonso Arfi
623,Alfonso Bassave
624,Alfonso Cabrera
625,Alfonso Cuarón
626,Alfonso Dosal
627,Alfonso Herrera
628,Alfonso Ribeiro
629,Alfonso Tort
630,Alfre Woodard
631,Alfred Gerbet
632,Alfred Molina
633,Alfred Robles
634,Alfred Svensson
635,Alfred Willer
636,Alfredo Castellani
637,Alfredo Cerrone
638,Alfredo Flores
639,Alfredo Tavares
640,Ali Afshar
641,Ali Ahn
642,Ali Alarik
643,Ali Alsherif
644,Ali Atay
645,Ali Baba
646,Ali Bee
647,Ali Ben Horsting
648,Ali Fazal
649,Ali Kazmi
650,Ali Larter
651,Ali Mattu
652,Ali Poyrazoglu
653,Ali Rabi
654,Ali Skovbye
655,Ali Suliman
656,Ali Tabrizi
657,Ali Ulvi Gülsen
658,Ali Wong
659,Alia Shawkat
660,Alica Massi
661,Alice Barry
662,Alice Belaïdi
663,Alice Braga
664,Alice Cho
665,Alice Cooper
666,Alice Dinnean
667,Alice Dwyer
668,Alice Einhorn
669,Alice Hunter
670,Alice Isaaz
671,Alice Krige
672,Alice Lowe
673,Alice Macdonald
674,Alice Pagani
675,Alice Tsoi
676,Alicia Agneson
677,Alicia Borrachero
678,Alicia Drake
679,Alicia González
680,Alicia Sanz
681,Alicia Silverstone
682,Alicia Vikander
683,Alicia Witt
684,Alicia von Rittberg
685,Alie Ward
686,Aliette Opheim
687,Alina Boz
688,Alina Serban
689,Aline Küppenheim
690,Aline Neves
691,Alisa Kunkwaeng
692,Alisdair Simpson
693,Alisha Boe
694,Alisha Wainwright
695,Alison Bell
696,Alison Botha
697,Alison Brie
698,Alison Brooks
699,Alison Fernandez
700,Alison Mandel
701,Alison Smith Balch
702,Alison Viktorin
703,Alison Wright
704,Alistair Abell
705,Aliza Abargil
706,Aliza Waksal Pressman
707,Alkoya Brunson
708,Allan Avery
709,Allan Hawco
710,Allan Kournikova
711,Allan Paule
712,Allan Walker
713,Allegra Clark
714,Allegra Levy
